,Precision,Recall,F1_Score
economic,0.8543689320388349,0.6875,0.7619047619047619
environmental,0.7,0.8571428571428571,0.7706422018348623
foreign policy,0.8157894736842105,0.7380952380952381,0.775
governance,0.7368421052631579,0.12727272727272726,0.21705426356589144
immigration,0.96,0.8,0.8727272727272726
military,0.8333333333333334,0.7692307692307693,0.8
safety,0.8363636363636363,0.6764705882352942,0.7479674796747968
social programs,0.8833333333333333,0.7162162162162162,0.791044776119403
social cultural,0.8297872340425532,0.5131578947368421,0.6341463414634148
