,Precision,Recall,F1_Score
economic,0.5465116279069767,0.7580645161290323,0.6351351351351351
environmental,0.5487804878048781,0.9375,0.6923076923076923
foreign policy,0.373134328358209,0.6410256410256411,0.47169811320754723
governance,0.5217391304347826,0.11764705882352941,0.192
immigration,0.8260869565217391,0.6551724137931034,0.7307692307692307
military,0.43243243243243246,0.64,0.5161290322580645
safety,0.494949494949495,0.7205882352941176,0.5868263473053893
social programs,0.5955056179775281,0.7571428571428571,0.6666666666666666
social cultural,0.37815126050420167,0.5921052631578947,0.46153846153846145
