,Precision,Recall,F1_Score
economic,0.9259259259259259,0.1953125,0.3225806451612903
environmental,0.6341463414634146,0.5306122448979592,0.5777777777777777
foreign policy,0.8571428571428571,0.5714285714285714,0.6857142857142856
governance,0.6923076923076923,0.08181818181818182,0.14634146341463417
immigration,0.9523809523809523,0.6666666666666666,0.7843137254901962
military,0.9166666666666666,0.4230769230769231,0.5789473684210525
safety,0.9166666666666666,0.3235294117647059,0.4782608695652174
social programs,1.0,0.4594594594594595,0.6296296296296297
social cultural,0.9032258064516129,0.3684210526315789,0.5233644859813084
