,Precision,Recall,F1_Score
economic,1.0,0.1935483870967742,0.3243243243243243
environmental,0.6341463414634146,0.5416666666666666,0.5842696629213483
foreign policy,0.875,0.5384615384615384,0.6666666666666666
governance,0.6923076923076923,0.08823529411764706,0.1565217391304348
immigration,0.95,0.6551724137931034,0.7755102040816326
military,1.0,0.4,0.5714285714285714
safety,0.9565217391304348,0.3235294117647059,0.48351648351648346
social programs,1.0,0.4714285714285714,0.6407766990291263
social cultural,0.9032258064516129,0.3684210526315789,0.5233644859813084
